一级分类	二级分类		商品条码	商品名称	入库/上架/售出/退回	商品进价（元）	商品售价（元）	售出季度
电器（01）	移动电子商品（0103）	010302		iPhone5s手机	上架			3000		4799		20140305
电器（01）	移动电子商品（0103）	010302		iPhone5s手机	售出			3000		4799		20140416
电器（01）	移动电子商品（0103）	010303		iPhone5s手机	入库			3000		4799		20140516
电器（01）	移动电子商品（0103）	010304		佳能单反套机	入库			4100		6099		20140113
电器（01）	移动电子商品（0103）	010305		佳能单反套机	入库			4100		6099		20140211
电器（01）	移动电子商品（0103）	010305		佳能单反套机	上架			4100		6099		20140215
电器（01）	移动电子商品（0103）	010306		E路航GPS导航仪	入库			680		999		20140316
电器（01）	移动电子商品（0103）	010306		E路航GPS导航仪	上架			680		999		20140329
电器（01）	移动电子商品（0103）	010307		E路航GPS导航仪	入库			680		999		20140901
电器（01）	移动电子商品（0103）	010307		E路航GPS导航仪	上架			680		999		20140904
电器（01）	移动电子商品（0103）	010307		E路航GPS导航仪	售出			680		999		20140914
电器（01）	移动电子商品（0103）	010308		E路航GPS导航仪	入库             	680		999		20140612
电器（01）	移动电子商品（0103）	010308		E路航GPS导航仪	上架			680		999		20140618
电器（01）	移动电子商品（0103）	010308		E路航GPS导航仪	售出			680		999		20140704
电器（01）	移动电子商品（0103）	010308		E路航GPS导航仪	退回（产品质量问题）	680		999		20140709
百货（02）	日用品（0201）		020101		金可儿弹簧床垫	入库			4800		6599		20140802
百货（02）	日用品（0201）		020101		金可儿弹簧床垫	上架			4800		6599		20140808
百货（02）	日用品（0201）		020102		金可儿弹簧床垫	入库			4800		6599		20140701
百货（02）	日用品（0201）		020102		金可儿弹簧床垫	上架			4800		6599		20140706
百货（02）	日用品（0201）		020103		金可儿弹簧床垫	入库			4800		6599		20140213
百货（02）	日用品（0201）		020103		金可儿弹簧床垫	上架			4800		6599		20140227
百货（02）	日用品（0201）		020103		金可儿弹簧床垫	售出			4800		6599		20140319
百货（02）	日用品（0201）		020104		金可儿弹簧床垫	入库			4800		6599		20140310
百货（02）	日用品（0201）		020104		金可儿弹簧床垫	上架			4800		6599		20140311
百货（02）	日用品（0201）		020104		金可儿弹簧床垫	售出			4800		6599		20140318
百货（02）	日用品（0201）		020105		乐享瓷器套装	入库			300		369		20140511
百货（02）	日用品（0201）		020105		乐享瓷器套装	上架			300		369		20140515
百货（02）	日用品（0201）		020106		珍珠生活炒锅	入库			700		919		20140831
百货（02）	日用品（0201）		020106		珍珠生活炒锅	上架			700		919		20140901
百货（02）	日用品（0201）		020107		珍珠生活炒锅	入库			700		919		20140127
百货（02）	日用品（0201）		020107		珍珠生活炒锅	上架			700		919		20140201
百货（02）	日用品（0201）		020107		珍珠生活炒锅	售出			700		919		20140202
百货（02）	玩具（0202）		020201		芭比娃娃	入库			240		316		20140606
百货（02）	玩具（0202）		020202		芭比娃娃	入库			240		316		20140228
百货（02）	玩具（0202）		020202		芭比娃娃	上架			240		316		20140301
百货（02）	玩具（0202）		020203		芭比娃娃	入库			240		316		20140701
百货（02）	玩具（0202）		020203		芭比娃娃	上架			240		316		20140703
百货（02）	玩具（0202）		020203		芭比娃娃	售出			240		316		20140716
百货（02）	玩具（0202）		020204		LEGO指挥舰	入库			500		729		20140605
百货（02）	玩具（0202）		020205		LEGO指挥舰	入库			500		729		20140910
百货（02）	玩具（0202）		020205		LEGO指挥舰	上架			500		729		20140919
百货（02）	玩具（0202）		020206		LEGO积木	入库			1100		1456		20140310
百货（02）	玩具（0202）		020206		LEGO积木	上架			1100		1456		20140314
百货（02）	玩具（0202）		020206		LEGO积木	售出			1100		1456		20140315
百货（02）	体育用品（0203）	020301		Wilson网球拍	入库			7100		8320		20140513
百货（02）	体育用品（0203）	020301		Wilson网球拍	上架			7100		8320		20140518
百货（02）	体育用品（0203）	020302		Wilson网球拍	入库			7100		8320		20140401
百货（02）	体育用品（0203）	020302		Wilson网球拍	上架			7100		8320		20140402
百货（02）	体育用品（0203）	020302		Wilson网球拍	售出			7100		8320		20140408
百货（02）	体育用品（0203）	020303		Diadora足球	入库			120		200		20140413
百货（02）	体育用品（0203）	020304		Diadora足球	入库			120		200		20140413
百货（02）	体育用品（0203）	020304		Diadora足球	上架			120		200		20140417
百货（02）	体育用品（0203）	020305		Diadora足球	入库			120		200		20140726
百货（02）	体育用品（0203）	020305		Diadora足球	上架			120		200		20140801
百货（02）	体育用品（0203）	020305		Diadora足球	售出			120		200		20140804
百货（02）	体育用品（0203）	020306		Diadora足球	入库			120		200		20140708
百货（02）	体育用品（0203）	020306		Diadora足球	上架			120		200		20140712
百货（02）	体育用品（0203）	020306		Diadora足球	售出			120		200		20140716
百货（02）	体育用品（0203）	020307		斯伯丁篮球	入库			100		163		20140615
百货（02）	体育用品（0203）	020307		斯伯丁篮球	上架			100		163		20140616
食品（03）	生鲜食品（0301）	030101		牛肉一斤	入库			15		30		20140616
食品（03）	生鲜食品（0301）	030101		牛肉一斤	上架			15		30		20140617
食品（03）	生鲜食品（0301）	030102		牛肉一斤	入库			15		30		20140110
食品（03）	生鲜食品（0301）	030102		牛肉一斤	上架			15		30		20140111
食品（03）	生鲜食品（0301）	030102		牛肉一斤	售出			15		30		20140112
食品（03）	生鲜食品（0301）	030103		猪排骨一斤	入库			13		25		20140302
食品（03）	生鲜食品（0301）	030103		猪排骨一斤	上架			13		25		20140303
食品（03）	生鲜食品（0301）	030104		猪排骨一斤	入库			13		25		20140816
食品（03）	生鲜食品（0301）	030104		猪排骨一斤	上架			13		25		20140817
食品（03）	生鲜食品（0301）	030104		猪排骨一斤	售出			13		25		20140818
食品（03）	生鲜食品（0301）	030105		猪排骨一斤	入库			13		25		20140113
食品（03）	生鲜食品（0301）	030105		猪排骨一斤	上架			13		25		20140114
食品（03）	生鲜食品（0301）	030105		猪排骨一斤	售出			13		25		20140115	
食品（03）	果蔬食品（0302）	030201		墨西哥牛油果	入库			50		79		20140902
食品（03）	果蔬食品（0302）	030201		墨西哥牛油果	上架			50		79		20140904
食品（03）	果蔬食品（0302）	030202		墨西哥牛油果	入库			50		79		20140402
食品（03）	果蔬食品（0302）	030202		墨西哥牛油果	上架			50		79		20140403
食品（03）	果蔬食品（0302）	030203		墨西哥牛油果	入库			50		79		20140127
食品（03）	果蔬食品（0302）	030203		墨西哥牛油果	上架			50		79		20140128
食品（03）	果蔬食品（0302）	030203		墨西哥牛油果	售出			50		79		20140129
食品（03）	果蔬食品（0302）	030204		红心火龙果	入库			6		12		20140716
食品（03）	果蔬食品（0302）	030204		红心火龙果	上架			6		12		20140717
食品（03）	果蔬食品（0302）	030205		红心火龙果	入库			6		12		20140711
食品（03）	果蔬食品（0302）	030205		红心火龙果	上架			6		12		20140712
食品（03）	果蔬食品（0302）	030205		红心火龙果	售出			6		12		20140713
食品（03）	果蔬食品（0302）	030206		红心火龙果	入库			6		12		20140703
食品（03）	果蔬食品（0302）	030206		红心火龙果	上架			6		12		20140704
食品（03）	果蔬食品（0302）	030206		红心火龙果	售出			6		12		20140705
食品（03）	干货食品（0303）	030301		香海干贝	入库			100		150		20140414
食品（03）	干货食品（0303）	030302		香海干贝	入库			100		150		20140404
食品（03）	干货食品（0303）	030302		香海干贝	上架			100		150		20140408
食品（03）	干货食品（0303）	030303		香海干贝	入库			100		150		20140222
食品（03）	干货食品（0303）	030303		香海干贝	上架			100		150		20140224
食品（03）	干货食品（0303）	030304		松茸 		入库			91		138		20140216
食品（03）	干货食品（0303）	030304		松茸 		上架			91		138		20140220
食品（03）	干货食品（0303）	030305		松茸 		入库			91		138		20140528
食品（03）	干货食品（0303）	030305		松茸 		上架			91		138		20140529
食品（03）	干货食品（0303）	030305		松茸 		售出			91		138		20140602
书籍（04）	育儿（0401）		040101		育儿百科	入库			20		35		20140711
书籍（04）	育儿（0401）		040102		育儿百科	入库			20		35		20140908
书籍（04）	育儿（0401）		040102		育儿百科	上架			20		35		20140912
书籍（04）	育儿（0401）		040103		完美胎教故事	入库			50		99		20140101
书籍（04）	育儿（0401）		040103		完美胎教故事	上架			50		99		20140104
书籍（04）	育儿（0401）		040103		完美胎教故事	售出			50		99		20140412
书籍（04）	育儿（0401）		040104		完美胎教故事	入库			50		99		20140415
书籍（04）	育儿（0401）		040104		完美胎教故事	上架			50		99		20140511
书籍（04）	育儿（0401）		040104		完美胎教故事	售出			50		99		20140818
书籍（04）	美容（0402）		040201		瘦身女王	入库			15		39		20140430
书籍（04）	美容（0402）		040202		瘦身女王	入库			15		39		20100301
书籍（04）	美容（0402）		040202		瘦身女王	上架			15		39		20100310
书籍（04）	美容（0402）		040203		盛装旅行	入库			15		39		20140703
书籍（04）	美容（0402）		040203		盛装旅行	上架			15		39		20140704
书籍（04）	美容（0402）		040203		盛装旅行	售出			15		39		20140720
书籍（04）	美容（0402）		040204		盛装旅行	入库			15		39		20140202
书籍（04）	美容（0402）		040204		盛装旅行	上架			15		39		20140208
书籍（04）	美容（0402）		040204		盛装旅行	售出			15		39		20140225
书籍（04）	文学（0403）		040301		村上春树随笔	入库			73		169		20140201
书籍（04）	文学（0403）		040301		村上春树随笔	上架			73		169		20140226
书籍（04）	文学（0403）		040302		村上春树随笔	入库			73		169		20140513
书籍（04）	文学（0403）		040302		村上春树随笔	上架			73		169		20140715
书籍（04）	文学（0403）		040303		三毛全集	入库			89		179		20140602
书籍（04）	文学（0403）		040303		三毛全集	上架			89		179		20140614
书籍（04）	文学（0403）		040303		三毛全集	售出			89		179		20140618
书籍（04）	文学（0403）		040304		三毛全集	入库			89		179		20140724
书籍（04）	文学（0403）		040304		三毛全集	上架			89		179		20140725
书籍（04）	文学（0403）		040304		三毛全集	售出			89		179		20140908
书籍（04）	文学（0403）		040305		红楼梦		入库			93		163		20140930
书籍（04）	文学（0403）		040306		红楼梦		入库			93		163		20141002
书籍（04）	文学（0403）		040306		红楼梦		上架			93		163		20141014
书籍（04）	文学（0403）		040307		冰与火之歌	入库			311		475		20140108
书籍（04）	文学（0403）		040307		冰与火之歌	上架			311		475		20141008
书籍（04）	文学（0403）		040308		冰与火之歌	入库			311		475		20140228
书籍（04）	文学（0403）		040308		冰与火之歌	上架			311		475		20140328
书籍（04）	文学（0403）		040308		冰与火之歌	售出			311		475		20141028
书籍（04）	文学（0403）		040309		冰与火之歌	入库			311		475		20140913
书籍（04）	文学（0403）		040309		冰与火之歌	上架			311		475		20140914
书籍（04）	文学（0403）		040309		冰与火之歌	售出			311		475		20140916
书籍（04）	历史（0404）		040401		史记		入库			73		168		20141001
书籍（04）	历史（0404）		040402		史记		入库			73		168		20140617
书籍（04）	历史（0404）		040402		史记		上架			73		168		20141009
书籍（04）	历史（0404）		040403		史记		售出			73		168		20140715
书籍（04）	历史（0404）		040403		史记		售出			73		168		20140719
书籍（04）	历史（0404）		040403		史记		售出			73		168		20141115
书籍（04）	历史（0404）		040404		罗马帝国衰亡史	入库			121		193		20140304
书籍（04）	历史（0404）		040404		罗马帝国衰亡史	上架			121		193		20140508
书籍（04）	历史（0404）		040405		罗马帝国衰亡史	入库			121		193		20140131
书籍（04）	历史（0404）		040405		罗马帝国衰亡史	上架			121		193		20140313
书籍（04）	历史（0404）		040405		罗马帝国衰亡史	售出			121		193		20141131








